Category,Customer Name,Product Name,Sub-Category,Profit,Sales
Office Supplies,Kunst Miller,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Binders,9.3612,25.824
Office Supplies,Kunst Miller,Xerox 1943,Paper,68.9631,146.73
Furniture,Kunst Miller,Luxo Economy Swing Arm Lamp,Furnishings,22.3328,79.76
Furniture,Paul Stevenson,"Global Value Mid-Back Manager's Chair, Gray",Chairs,-15.2225,213.115
Office Supplies,Brendan Sweed,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Art,111.3024,1113.024
Technology,Brendan Sweed,netTALK DUO VoIP Telephone Service,Phones,62.988,167.968
Office Supplies,Karen Daniels,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Paper,35.6636,75.88
Office Supplies,Henry MacAllister,Avery Binding System Hidden Tab Executive Style Index Sets,Binders,1.731,4.616
Office Supplies,Tracy Blumstein,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Paper,8.763,19.05
Furniture,Joel Eaton,High-Back Leather Manager's Chair,Chairs,-114.3912,831.936
Furniture,Joel Eaton,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furnishings,1.213,97.04
Office Supplies,Joel Eaton,Safco Industrial Wire Shelving System,Storage,-18.196,72.784
Office Supplies,Ken Brennan,Economy Binders,Binders,-1.9344,1.248
Furniture,Ken Brennan,"6"" Cubicle Wall Clock, Black",Furnishings,-5.8248,9.708
Office Supplies,Ken Brennan,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Storage,2.724,27.24
Furniture,Joel Eaton,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furnishings,-14.475,19.3
Office Supplies,Stewart Carmichael,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Appliances,56.2032,208.16
Office Supplies,Stewart Carmichael,Avery Heavy-Duty EZD  Binder With Locking Rings,Binders,8.0352,16.74
Office Supplies,Duane Noonan,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Art,4.172,14.9
Office Supplies,Duane Noonan,"Sortfiler Multipurpose Personal File Organizer, Black",Storage,6.2031,21.39
Office Supplies,Julie Creighton,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Envelopes,62.8075,200.984
Office Supplies,Christopher Schild,Safco Industrial Wire Shelving,Storage,-48.9549,230.376
Furniture,Patrick O'Donnell,Novimex Swivel Fabric Task Chair,Chairs,33.2156,301.96
Technology,Paul Gonzalez,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Accessories,6.7966,19.99
Office Supplies,Paul Gonzalez,Avery 511,Labels,2.9568,6.16
Office Supplies,Gary Mitchum,Eldon Portable Mobile Manager,Storage,13.8572,158.368
Office Supplies,Jim Sink,Turquoise Lead Holder with Pocket Clip,Art,6.633,20.1
Technology,Jim Sink,Panasonic Kx-TS550,Phones,8.2782,73.584
Office Supplies,Jim Sink,Xerox 1995,Paper,3.1104,6.48
Office Supplies,Karl Braun,Xerox 1999,Paper,6.2208,12.96
Furniture,Karl Braun,"Seth Thomas 13 1/2"" Wall Clock",Furnishings,16.5354,53.34
Office Supplies,Karl Braun,Ibico Standard Transparent Covers,Binders,16.1504,32.96
Office Supplies,Roger Barcio,Flexible Leather- Look Classic Collection Ring Binder,Binders,-3.788,5.682
Furniture,Parhena Norris,9-3/4 Diameter Round Wall Clock,Furnishings,40.5426,96.53
Office Supplies,Katherine Ducich,Trimflex Flexible Post Binders,Binders,17.9592,51.312
Office Supplies,Elpida Rittenbach,Fellowes Basic Home/Office Series Surge Protectors,Appliances,22.5852,77.88
Office Supplies,Rick Bensley,Avery Personal Creations Heavyweight Cards,Paper,22.6184,64.624
Technology,Rick Bensley,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Accessories,-10.7973,95.976
Office Supplies,Rick Bensley,Avery Hidden Tab Dividers for Binding Systems,Binders,-3.0396,1.788
Office Supplies,Gary Zandusky,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Paper,11.7208,23.92
Technology,Lena Cacioppo,Logitech K350 2.4Ghz Wireless Keyboard,Accessories,-26.8758,238.896
Furniture,Lena Cacioppo,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Furnishings,-3.8385,102.36
Office Supplies,Lena Cacioppo,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Binders,-25.8174,36.882
Technology,Janet Martin,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Accessories,17.6016,74.112
Technology,Janet Martin,Speck Products Candyshell Flip Case,Phones,2.0994,27.992
Office Supplies,Janet Martin,Newell Chalk Holder,Art,1.0738,3.304
Technology,Pete Armstrong,Logitech Gaming G510s - Keyboard,Accessories,67.992,339.96
Furniture,Cynthia Voltz,Magnifier Swing Arm Lamp,Furnishings,10.9096,41.96
Office Supplies,Clay Ludtke,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Art,22.788,75.96
Office Supplies,Clay Ludtke,"Avery Durable Plastic 1"" Binders",Binders,13.3476,27.24
Office Supplies,Ryan Crowe,"OIC Colored Binder Clips, Assorted Sizes",Fasteners,14.5348,40.096
Office Supplies,Ryan Crowe,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Envelopes,1.652,4.72
Office Supplies,Ryan Crowe,Xerox 1921,Paper,7.4925,23.976
Office Supplies,Ryan Crowe,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Envelopes,44.0316,130.464
Furniture,Dave Kipp,Hon Racetrack Conference Tables,Tables,165.3813,787.53
Office Supplies,Greg Guthrie,GBC DocuBind 300 Electric Binding Machine,Binders,-115.7156,157.794
Furniture,Steven Cartwright,Artistic Insta-Plaque,Furnishings,18.3456,47.04
Office Supplies,Steven Cartwright,DXL Angle-View Binders with Locking Rings by Samsill,Binders,13.878,30.84
Office Supplies,Steven Cartwright,"Companion Letter/Legal File, Black",Storage,63.4368,226.56
Office Supplies,Steven Cartwright,Globe Weis Peel & Seel First Class Envelopes,Envelopes,51.759,115.02
Technology,Steven Cartwright,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Phones,19.7316,68.04
Furniture,Alan Dominguez,Global Deluxe High-Back Manager's Chair,Chairs,-8.5794,600.558
Furniture,Philip Fox,Bevis 44 x 96 Conference Tables,Tables,-407.682,617.7
Office Supplies,Troy Staebel,"Avery Durable Slant Ring Binders, No Labels",Binders,-1.8308,2.388
Office Supplies,Troy Staebel,"Trav-L-File Heavy-Duty Shuttle II, Black",Storage,30.499,243.992
Furniture,Lindsay Shagiari,"Global Task Chair, Black",Chairs,-9.1602,81.424
Furniture,Lindsay Shagiari,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furnishings,26.2416,238.56
Technology,Dorothy Wardle,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Phones,-11.994,59.97
Office Supplies,Dorothy Wardle,Xerox 1916,Paper,29.364,78.304
Office Supplies,Dorothy Wardle,Staples,Fasteners,6.9732,21.456
Office Supplies,Lena Creighton,Xerox 195,Paper,9.6192,20.04
Office Supplies,Lena Creighton,Xerox 1880,Paper,16.6568,35.44
Office Supplies,Lena Creighton,"Sanford Colorific Colored Pencils, 12/Box",Art,3.456,11.52
Office Supplies,Lena Creighton,Ideal Clamps,Fasteners,1.9698,4.02
Office Supplies,Lena Creighton,GBC Wire Binding Strips,Binders,26.6616,76.176
Office Supplies,Lena Creighton,Fiskars Softgrip Scissors,Supplies,18.4464,65.88
Furniture,Lena Creighton,Longer-Life Soft White Bulbs,Furnishings,20.6976,43.12
Furniture,Jonathan Doherty,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furnishings,10.35,82.8
Office Supplies,Sally Hughsby,Newell 343,Art,2.3814,8.82
Office Supplies,Sally Hughsby,Convenience Packs of Business Envelopes,Envelopes,5.1042,10.86
Office Supplies,Sally Hughsby,Xerox 1911,Paper,68.976,143.7
Office Supplies,Sandra Glassco,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Appliances,218.2518,839.43
Office Supplies,Helen Andreada,Safco Industrial Wire Shelving,Storage,20.1579,671.93
Furniture,Maureen Gastineau,"Seth Thomas 14"" Putty-Colored Wall Clock",Furnishings,12.9096,93.888
Technology,Justin Ellison,Plantronics Cordless Phone Headset with In-line Volume - M214C,Phones,103.8015,384.45
Technology,Justin Ellison,Anker Astro 15000mAh USB Portable Charger,Phones,5.9988,149.97
Furniture,Justin Ellison,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Chairs,585.552,1951.84
Office Supplies,Justin Ellison,GBC Prestige Therm-A-Bind Covers,Binders,80.6285,171.55
Office Supplies,Tamara Willingham,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,Appliances,17.766,157.92
Technology,Tamara Willingham,Jabra BIZ 2300 Duo QD Duo Corded Headset,Phones,15.2388,203.184
Office Supplies,Stephanie Phelps,Southworth 25% Cotton Antique Laid Paper & Envelopes,Paper,26.271,58.38
Office Supplies,Stephanie Phelps,Xerox 1883,Paper,48.5392,105.52
Office Supplies,Stephanie Phelps,"Tenex Personal Project File with Scoop Front Design, Black",Storage,21.0288,80.88
Office Supplies,Neil Knudson,Newell 311,Art,1.7901,6.63
Furniture,Dave Brooks,Global Deluxe High-Back Manager's Chair,Chairs,51.4764,457.568
Office Supplies,Nora Paige,Avery 519,Labels,6.8714,14.62
Technology,Nora Paige,Avaya 5420 Digital phone,Phones,236.2325,944.93
Office Supplies,Ted Trevino,Xerox 1920,Paper,2.691,5.98
Technology,Eric Murdock,Lenovo 17-Key USB Numeric Keypad,Accessories,1.3596,54.384
Office Supplies,Ruben Dartt,Staple envelope,Envelopes,13.348,28.4
Office Supplies,Max Jones,Wilson Jones International Size A4 Ring Binders,Binders,9.688,27.68
Office Supplies,Becky Martin,BIC Brite Liner Highlighters,Art,2.7324,9.936
Technology,Becky Martin,Lexmark MX611dhe Monochrome Laser Printer,Machines,-1359.992,8159.952
Office Supplies,Becky Martin,Space Solutions HD Industrial Steel Shelving.,Storage,-58.6347,275.928
Furniture,Becky Martin,SAFCO Arco Folding Chair,Chairs,-24.858,1740.06
Office Supplies,Becky Martin,Sanford Liquid Accent Highlighters,Art,6.8136,32.064
Office Supplies,Becky Martin,Kensington 7 Outlet MasterPiece Power Center,Appliances,-453.849,177.98
Technology,Becky Martin,JBL Micro Wireless Portable Bluetooth Speaker,Phones,8.9985,143.976
Office Supplies,Chad Sievert,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",Paper,9.8418,20.94
Office Supplies,Chad Sievert,Xerox 1913,Paper,53.2608,110.96
Furniture,Chad Sievert,"Global Value Steno Chair, Gray",Chairs,21.259,340.144
Office Supplies,Jennifer Braxton,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Appliances,-131.12,52.448
Office Supplies,Jennifer Braxton,Avery 51,Labels,6.552,20.16
Office Supplies,Shirley Jackson,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Appliances,-243.16,97.264
Furniture,Joel Eaton,"Padded Folding Chairs, Black, 4/Carton",Chairs,-11.3372,396.802
Office Supplies,Joel Eaton,Acme Rosewood Handle Letter Opener,Supplies,-3.7715,15.88
Office Supplies,Jim Kriz,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",Art,1.4104,3.28
Office Supplies,David Kendrick,"Tenex File Box, Personal Filing Tote with Lid, Black",Storage,1.8612,24.816
Technology,David Kendrick,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,Accessories,76.6395,408.744
Technology,Robert Marley,AT&T TR1909W,Phones,131.0296,503.96
Technology,Robert Marley,Nokia Lumia 521 (T-Mobile),Phones,41.986,149.95
Technology,Robert Marley,HP Standard 104 key PS/2 Keyboard,Accessories,7.25,29
Office Supplies,Sally Knutson,Avery Poly Binder Pockets,Binders,3.4368,7.16
Technology,Frank Merwin,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Accessories,22.984,176.8
Office Supplies,Alice McCarthy,"Personal Filing Tote with Lid, Black/Gray",Storage,3.7224,37.224
Office Supplies,Alice McCarthy,Southworth 25% Cotton Antique Laid Paper & Envelopes,Paper,6.255,20.016
Furniture,Mark Packer,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Bookcases,112.392,899.136
Technology,Mark Packer,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Phones,20.0928,71.76
Office Supplies,Mark Packer,Xerox 205,Paper,24.8832,51.84
Furniture,Mark Packer,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Bookcases,46.9764,626.352
Office Supplies,Mark Packer,4009 Highlighters by Sanford,Art,6.567,19.9
Office Supplies,Mary Zewe,Poly String Tie Envelopes,Envelopes,6.7116,14.28
Office Supplies,Cassandra Brandow,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Art,1.2038,7.408
Office Supplies,Cassandra Brandow,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",Art,1.5876,6.048
Office Supplies,Valerie Mitchum,Decoflex Hanging Personal Folder File,Storage,12.0276,46.26
Office Supplies,Fred Hopkins,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Binders,-2.2586,2.946
Office Supplies,Fred Hopkins,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",Paper,5.8203,16.056
Office Supplies,Maria Bertelson,Southworth 25% Cotton Linen-Finish Paper & Envelopes,Paper,6.795,21.744
Furniture,Bruce Stewart,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Tables,-161.875,218.75
Office Supplies,Bruce Stewart,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",Appliances,0.2925,2.6
Office Supplies,Logan Currie,Eureka Sanitaire  Commercial Upright,Appliances,-178.9668,66.284
Furniture,Heather Kirkland,"Eldon 200 Class Desk Accessories, Burgundy",Furnishings,9.6712,35.168
Technology,Laurel Elliston,Nortel Business Series Terminal T7208 Digital phone,Phones,44.4768,444.768
Office Supplies,Joseph Holt,"Tennsco Lockers, Gray",Storage,5.8744,83.92
Technology,Joseph Holt,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,Phones,35.6346,131.98
Office Supplies,Joseph Holt,"Avery Durable Slant Ring Binders, No Labels",Binders,7.4824,15.92
Office Supplies,Joseph Holt,"Advantus Push Pins, Aluminum Head",Fasteners,16.2099,52.29
Office Supplies,Joseph Holt,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Storage,3.6796,91.99
Technology,Michael Stewart,Memorex Micro Travel Drive 8 GB,Accessories,6.5,20.8
Office Supplies,Victoria Wilson,Avery 505,Labels,8.88,23.68
Furniture,Victoria Wilson,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Bookcases,-244.323,452.45
Technology,Victoria Wilson,Speck Products Candyshell Flip Case,Phones,-14.6958,62.982
Technology,Victoria Wilson,Cisco 9971 IP Video Phone Charcoal,Machines,-950.4,1188
Technology,Victoria Wilson,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,Accessories,4.4792,89.584
Office Supplies,Jonathan Howell,"Personal Filing Tote with Lid, Black/Gray",Storage,26.0568,93.06
Technology,Jonathan Howell,Adtran 1202752G1,Phones,22.6782,302.376
Office Supplies,Joni Blumstein,OIC Bulk Pack Metal Binder Clips,Fasteners,1.8148,5.584
Office Supplies,Joni Blumstein,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",Paper,8.2302,22.704
Office Supplies,Joni Blumstein,Ibico Standard Transparent Covers,Binders,-13.8432,19.776
Furniture,Joni Blumstein,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Furnishings,19.0848,72.704
Technology,Joni Blumstein,Swingline SM12-08 MicroCut Jam Free Shredder,Machines,-383.9904,479.988
Office Supplies,Joni Blumstein,Stanley Bostitch Contemporary Electric Pencil Sharpeners,Art,2.7168,27.168
Office Supplies,David Smith,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",Art,0.968,2.2
Furniture,David Smith,Bevis 36 x 72 Conference Tables,Tables,136.939,622.45
Office Supplies,David Smith,Rogers Deluxe File Chest,Storage,0.2198,21.98
Furniture,Valerie Dominguez,Global Low Back Tilter Chair,Chairs,-28.2744,161.568
Furniture,Valerie Dominguez,"Global Push Button Manager's Chair, Indigo",Chairs,43.8408,389.696
Office Supplies,Erin Ashbrook,GBC Instant Index System for Binding Systems,Binders,-12.432,18.648
Furniture,Christopher Schild,Bush Advantage Collection Round Conference Table,Tables,-102.048,233.86
Furniture,Christopher Schild,Bretford Rectangular Conference Table Tops,Tables,-248.2458,620.6145
Office Supplies,Christopher Schild,GBC Instant Index System for Binding Systems,Binders,-3.552,5.328
Furniture,Christopher Schild,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Furnishings,0,258.072
Technology,Christopher Schild,Logitech P710e Mobile Speakerphone,Accessories,-7.7247,617.976
Office Supplies,David Bremer,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Paper,4.752,10.56
Office Supplies,Ken Lonsdale,Xerox 1957,Paper,9.396,25.92
Furniture,Ken Lonsdale,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Furnishings,-356.728,419.68
Furniture,Ken Lonsdale,Staple-based wall hangings,Furnishings,-4.6752,11.688
Technology,Ken Lonsdale,PureGear Roll-On Screen Protector,Phones,11.1944,31.984
Furniture,Ken Lonsdale,KI Conference Tables,Tables,-120.513,177.225
Furniture,Ken Lonsdale,Eldon 100 Class Desk Accessories,Furnishings,-2.8308,4.044
Office Supplies,Ken Lonsdale,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Art,1.2038,7.408
Furniture,Dianna Wilson,Global Deluxe High-Back Manager's Chair,Chairs,580.5394,2001.86
Office Supplies,Dianna Wilson,Safco Steel Mobile File Cart,Storage,41.68,166.72
Office Supplies,Dianna Wilson,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Paper,23.94,47.88
Office Supplies,Dianna Wilson,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Appliances,496.0725,1503.25
Office Supplies,Dianna Wilson,Xerox 205,Paper,12.4416,25.92
Furniture,Logan Haushalter,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Chairs,28.1372,321.568
Office Supplies,Kelly Collister,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",Paper,3.5767,7.61
Technology,Kelly Collister,Logitech P710e Mobile Speakerphone,Accessories,636.0003,3347.37
Office Supplies,Delfina Latchford,"Fellowes Personal Hanging Folder Files, Navy",Storage,22.5624,80.58
Office Supplies,Delfina Latchford,Tyvek Side-Opening Peel & Seel Expanding Envelopes,Envelopes,162.864,361.92
Furniture,Dan Reichenbach,Eldon 100 Class Desk Accessories,Furnishings,-8.4924,12.132
Office Supplies,Dan Reichenbach,"Belkin 19"" Vented Equipment Shelf, Black",Storage,-19.5624,82.368
Office Supplies,Dan Reichenbach,"Tenex Personal Project File with Scoop Front Design, Black",Storage,4.044,53.92
Technology,Dan Reichenbach,Logitech Mobile Speakerphone P710e - speaker phone,Phones,56.6916,647.904
Technology,Craig Carreira,Sabrent 4-Port USB 2.0 Hub,Accessories,6.9258,20.37
Office Supplies,Craig Carreira,Safco Industrial Shelving,Storage,6.6465,221.55
Office Supplies,Craig Carreira,Acco 3-Hole Punch,Binders,6.132,17.52
Office Supplies,Dorris liebe,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,Appliances,-4.466,1.624
Technology,Sean Braxton,Lexmark MX611dhe Monochrome Laser Printer,Machines,-509.997,3059.982
Technology,Sean Braxton,Xerox WorkCentre 6505DN Laser Multifunction Printer,Machines,-251.9958,2519.958
Technology,Roy Collins,Cisco Small Business SPA 502G VoIP phone,Phones,28.7196,328.224
Technology,Alan Hwang,Microsoft Sculpt Comfort Mouse,Accessories,35.156,79.9
Office Supplies,Claudia Bergmann,"Quartet Omega Colored Chalk, 12/Pack",Art,4.7304,14.016
Office Supplies,Paul Gonzalez,Bagged Rubber Bands,Fasteners,0.3024,7.56
Office Supplies,Christine Abelman,Safco Commercial Shelving,Storage,-7.4416,37.208
Office Supplies,Christine Abelman,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Envelopes,21.591,57.576
Office Supplies,Kristen Hastings,Adjustable Depth Letter/Legal Cart,Storage,210.4936,725.84
Technology,Helen Andreada,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Accessories,92.3692,209.93
Furniture,Helen Andreada,Regeneration Desk Collection,Furnishings,2.3232,5.28
Office Supplies,Helen Andreada,Presstex Flexible Ring Binders,Binders,4.095,10.92
Office Supplies,Barry Blumstein,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",Paper,4.0572,8.82
Office Supplies,Barry Blumstein,Newell 330,Art,1.5548,5.98
